Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
País Vasco,Industria,Sueldos y salarios,2020,
País Vasco,Industria,Sueldos y salarios,2019,
País Vasco,Industria,Sueldos y salarios,2018,
País Vasco,Construcción,Sueldos y salarios,2023,
País Vasco,Construcción,Sueldos y salarios,2022,
País Vasco,Construcción,Sueldos y salarios,2021,
País Vasco,Construcción,Sueldos y salarios,2020,
País Vasco,Construcción,Sueldos y salarios,2019,
País Vasco,Construcción,Sueldos y salarios,2018,
País Vasco,Servicios,Sueldos y salarios,2023,
País Vasco,Servicios,Sueldos y salarios,2022,
País Vasco,Servicios,Sueldos y salarios,2021,
País Vasco,Servicios,Sueldos y salarios,2020,
País Vasco,Servicios,Sueldos y salarios,2019,
País Vasco,Servicios,Sueldos y salarios,2018,
"Rioja, La",Industria,Sueldos y salarios,2023,
"Rioja, La",Industria,Sueldos y salarios,2022,
"Rioja, La",Industria,Sueldos y salarios,2021,
"Rioja, La",Industria,Sueldos y salarios,2020,
"Rioja, La",Industria,Sueldos y salarios,2019,
"Rioja, La",Industria,Sueldos y salarios,2018,
"Rioja, La",Construcción,Sueldos y salarios,2023,
"Rioja, La",Construcción,Sueldos y salarios,2022,
"Rioja, La",Construcción,Sueldos y salarios,2021,
"Rioja, La",Construcción,Sueldos y salarios,2020,
"Rioja, La",Construcción,Sueldos y salarios,2019,
"Rioja, La",Construcción,Sueldos y salarios,2018,
"Rioja, La",Servicios,Sueldos y salarios,2023,
"Rioja, La",Servicios,Sueldos y salarios,2022,
"Rioja, La",Servicios,Sueldos y salarios,2021,
"Rioja, La",Servicios,Sueldos y salarios,2020,
"Rioja, La",Servicios,Sueldos y salarios,2019,
"Rioja, La",Servicios,Sueldos y salarios,2018,
