Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2019T4,09 Cataluña,2019,T4,2423800.0,3478100.0,405800.0,6307700.0
2019T4,10 Comunitat Valenciana,2019,T4,1741200.0,2106400.0,346700.0,4194300.0
2019T4,11 Extremadura,2019,T4,396500.0,380900.0,116900.0,894300.0
2019T4,12 Galicia,2019,T4,1095400.0,1096000.0,145800.0,2337200.0
2019T4,"13 Madrid, Comunidad de",2019,T4,2036400.0,3174500.0,352300.0,5563200.0
2019T4,"14 Murcia, Región de",2019,T4,493400.0,611900.0,117200.0,1222500.0
2019T4,"15 Navarra, Comunidad Foral de",2019,T4,223100.0,287700.0,28500.0,539300.0
2019T4,16 País Vasco,2019,T4,813100.0,933300.0,93300.0,1839700.0
2019T4,"17 Rioja, La",2019,T4,107600.0,140600.0,15400.0,263600.0
2019T4,18 Ceuta,2019,T4,25200.0,28300.0,12200.0,65700.0
2019T4,19 Melilla,2019,T4,28300.0,26500.0,8300.0,63100.0
2020T1,01 Andalucía,2020,T1,3061700.0,3107200.0,836700.0,7005600.0
2020T1,02 Aragón,2020,T1,458000.0,582100.0,69300.0,1109400.0
2020T1,"03 Asturias, Principado de",2020,T1,435700.0,387600.0,65099.99999999999,888400.0
2020T1,"04 Balears, Illes",2020,T1,404600.0,503000.0,111900.0,1019500.0
2020T1,05 Canarias,2020,T1,770900.0,930200.0,215300.0,1916400.0
2020T1,06 Cantabria,2020,T1,225800.0,239200.0,29800.0,494800.0
2020T1,07 Castilla y León,2020,T1,926500.0,984300.0,131900.0,2042700.0
2020T1,08 Castilla - La Mancha,2020,T1,712000.0,800900.0,177100.0,1690000.0
2020T1,09 Cataluña,2020,T1,2455300.0,3451200.0,411600.0,6318100.0
2020T1,10 Comunitat Valenciana,2020,T1,1784400.0,2074300.0000000002,348700.0,4207400.0
2020T1,11 Extremadura,2020,T1,402200.0,375900.0,116000.0,894100.0
2020T1,12 Galicia,2020,T1,1098800.0,1083000.0,156800.0,2338600.0
2020T1,"13 Madrid, Comunidad de",2020,T1,2071300.0000000002,3147000.0,373000.0,5591300.0
2020T1,"14 Murcia, Región de",2020,T1,502900.0,604800.0,119200.0,1226900.0
2020T1,"15 Navarra, Comunidad Foral de",2020,T1,230200.0,284300.0,26600.0,541100.0
2020T1,16 País Vasco,2020,T1,824100.0,930000.0,88800.0,1842900.0
2020T1,"17 Rioja, La",2020,T1,108100.0,138800.0,17500.0,264400.0
2020T1,18 Ceuta,2020,T1,26900.0,28500.0,10200.0,65600.0
2020T1,19 Melilla,2020,T1,26600.0,29000.0,7500.0,63100.0
2020T2,01 Andalucía,2020,T2,3315800.0,2909000.0,788500.0,7013300.0
2020T2,02 Aragón,2020,T2,473500.0,562100.0,75000.0,1110600.0
2020T2,"03 Asturias, Principado de",2020,T2,453400.0,371300.0,62700.0,887400.0
2020T2,"04 Balears, Illes",2020,T2,411900.0,512200.00000000006,97100.0,1021200.0
2020T2,05 Canarias,2020,T2,873600.0,822200.0,225900.0,1921700.0
2020T2,06 Cantabria,2020,T2,239900.0,220200.0,35100.0,495200.0
2020T2,07 Castilla y León,2020,T2,982800.0,927100.0,130699.99999999999,2040600.0
2020T2,08 Castilla - La Mancha,2020,T2,764800.0,771100.0,156200.0,1692100.0
2020T2,09 Cataluña,2020,T2,2621600.0,3227500.0,472900.0,6322000.0
2020T2,10 Comunitat Valenciana,2020,T2,1877100.0,1945700.0,391100.0,4213900.0
2020T2,11 Extremadura,2020,T2,421200.0,371400.0,101000.0,893600.0
2020T2,12 Galicia,2020,T2,1145900.0,1050400.0,142500.0,2338800.0
2020T2,"13 Madrid, Comunidad de",2020,T2,2215300.0,2962600.0,427500.0,5605400.0
2020T2,"14 Murcia, Región de",2020,T2,530200.0,590100.0,109300.0,1229600.0
2020T2,"15 Navarra, Comunidad Foral de",2020,T2,239800.0,271500.0,30400.0,541700.0
2020T2,16 País Vasco,2020,T2,853500.0,899600.0,90400.0,1843500.0
2020T2,"17 Rioja, La",2020,T2,114300.0,135100.0,15200.0,264600.0
2020T2,18 Ceuta,2020,T2,29000.0,29900.0,6800.0,65700.0
2020T2,19 Melilla,2020,T2,25000.0,28500.0,9500.0,63000.0
2020T3,01 Andalucía,2020,T3,3106600.0,2985300.0,932300.0,7024200.0
2020T3,02 Aragón,2020,T3,467100.0,567200.0,76600.0,1110900.0
2020T3,"03 Asturias, Principado de",2020,T3,442800.0,380800.0,62800.0,886400.0
2020T3,"04 Balears, Illes",2020,T3,361500.0,573900.0,87900.0,1023300.0
2020T3,05 Canarias,2020,T3,831900.0,819300.0,273700.0,1924900.0
2020T3,06 Cantabria,2020,T3,222100.0,240900.0,32900.0,495900.0
2020T3,07 Castilla y León,2020,T3,929200.0,970800.0,138500.0,2038500.0
2020T3,08 Castilla - La Mancha,2020,T3,715200.0,799600.0,179600.0,1694400.0
2020T3,09 Cataluña,2020,T3,2498800.0,3323900.0,506600.0,6329300.0
2020T3,10 Comunitat Valenciana,2020,T3,1768800.0,2027500.0,422800.0,4219100.0
2020T3,11 Extremadura,2020,T3,403900.0,387500.0,102200.0,893600.0
2020T3,12 Galicia,2020,T3,1111600.0,1082600.0,144800.0,2339000.0
2020T3,"13 Madrid, Comunidad de",2020,T3,2142100.0,3005300.0,459100.0,5606500.0
2020T3,"14 Murcia, Región de",2020,T3,484700.0,618600.0,128500.0,1231800.0
2020T3,"15 Navarra, Comunidad Foral de",2020,T3,231700.0,279400.0,30900.0,542000.0
2020T3,16 País Vasco,2020,T3,816000.0,920500.0,106200.0,1842700.0
2020T3,"17 Rioja, La",2020,T3,110400.0,136500.0,17800.0,264700.0
2020T3,18 Ceuta,2020,T3,27100.0,28000.0,10600.0,65700.0
2020T3,19 Melilla,2020,T3,24600.0,29300.0,9000.0,62900.0
2020T4,01 Andalucía,2020,T4,3049100.0,3083000.0,907200.0,7039300.0
2020T4,02 Aragón,2020,T4,462300.0,568100.0,81100.0,1111500.0
2020T4,"03 Asturias, Principado de",2020,T4,441500.0,384700.0,60000.0,886200.0
2020T4,"04 Balears, Illes",2020,T4,391800.0,523799.99999999994,109900.0,1025500.0
2020T4,05 Canarias,2020,T4,820200.0,827400.0,279000.0,1926600.0
2020T4,06 Cantabria,2020,T4,228100.0,237300.0,31700.0,497100.0
2020T4,07 Castilla y León,2020,T4,933500.0,976600.0,128300.00000000001,2038400.0
2020T4,08 Castilla - La Mancha,2020,T4,703100.0,821900.0,173000.0,1698000.0
2020T4,09 Cataluña,2020,T4,2462600.0,3340600.0,537900.0,6341100.0
2020T4,10 Comunitat Valenciana,2020,T4,1792900.0,2033900.0,398000.0,4224800.0
2020T4,11 Extremadura,2020,T4,403100.0,386400.0,104700.0,894200.0
2020T4,12 Galicia,2020,T4,1116100.0,1080900.0,142600.0,2339600.0
