Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2021,0.0
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2020,18.49
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2019,11.9
"15 Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2018,0.0
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2023,7.29
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2022,2.13
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2021,2.25
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2020,2.59
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2019,4.23
"15 Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2018,4.41
16 País Vasco,Industria,Gastos en transporte,2023,53.34
16 País Vasco,Industria,Gastos en transporte,2022,45.23
16 País Vasco,Industria,Gastos en transporte,2021,51.68
16 País Vasco,Industria,Gastos en transporte,2020,40.23
16 País Vasco,Industria,Gastos en transporte,2019,54.38
16 País Vasco,Industria,Gastos en transporte,2018,71.61
16 País Vasco,Construcción,Gastos en transporte,2023,30.82
16 País Vasco,Construcción,Gastos en transporte,2022,30.79
16 País Vasco,Construcción,Gastos en transporte,2021,14.92
16 País Vasco,Construcción,Gastos en transporte,2020,22.35
16 País Vasco,Construcción,Gastos en transporte,2019,22.46
16 País Vasco,Construcción,Gastos en transporte,2018,16.21
16 País Vasco,Servicios,Gastos en transporte,2023,7.54
16 País Vasco,Servicios,Gastos en transporte,2022,7.02
16 País Vasco,Servicios,Gastos en transporte,2021,6.99
16 País Vasco,Servicios,Gastos en transporte,2020,7.33
16 País Vasco,Servicios,Gastos en transporte,2019,7.21
16 País Vasco,Servicios,Gastos en transporte,2018,8.22
"17 Rioja, La",Industria,Gastos en transporte,2023,16.48
"17 Rioja, La",Industria,Gastos en transporte,2022,16.8
"17 Rioja, La",Industria,Gastos en transporte,2021,21.71
"17 Rioja, La",Industria,Gastos en transporte,2020,16.89
"17 Rioja, La",Industria,Gastos en transporte,2019,30.23
"17 Rioja, La",Industria,Gastos en transporte,2018,27.63
"17 Rioja, La",Construcción,Gastos en transporte,2023,11.38
"17 Rioja, La",Construcción,Gastos en transporte,2022,24.01
"17 Rioja, La",Construcción,Gastos en transporte,2021,0.03
"17 Rioja, La",Construcción,Gastos en transporte,2020,9.01
"17 Rioja, La",Construcción,Gastos en transporte,2019,2.13
"17 Rioja, La",Construcción,Gastos en transporte,2018,37.0
"17 Rioja, La",Servicios,Gastos en transporte,2023,7.7
"17 Rioja, La",Servicios,Gastos en transporte,2022,1.1
"17 Rioja, La",Servicios,Gastos en transporte,2021,6.09
"17 Rioja, La",Servicios,Gastos en transporte,2020,7.84
"17 Rioja, La",Servicios,Gastos en transporte,2019,1.86
"17 Rioja, La",Servicios,Gastos en transporte,2018,2.48
