Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Balears, Illes;Hombres;E. Superior;2021;31,61
25 - 64 años;Balears, Illes;Hombres;E. Superior;2020;31,42
25 - 64 años;Balears, Illes;Hombres;E. Superior;2019;27,97
25 - 64 años;Balears, Illes;Hombres;E. Superior;2018;25,83
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;35,27
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;35,51
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;32,11
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;32,24
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;36,76
25 - 64 años;Balears, Illes;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;37,87
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2023;27,31
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2022;26,05
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2021;26,89
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2020;29,49
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2019;27,41
25 - 64 años;Balears, Illes;Mujeres;2ª etapa E. Secundaria;2018;28,44
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2023;37,42
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2022;38,44
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2021;41,00
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2020;38,27
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2019;35,83
25 - 64 años;Balears, Illes;Mujeres;E. Superior;2018;33,69
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;43,35
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;41,07
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;42,98
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;43,31
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;45,39
25 - 64 años;Canarias;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;46,88
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2023;27,12
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2022;26,31
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2021;25,24
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2020;25,66
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2019;23,98
25 - 64 años;Canarias;Hombres;2ª etapa E. Secundaria;2018;24,62
25 - 64 años;Canarias;Hombres;E. Superior;2023;29,53
25 - 64 años;Canarias;Hombres;E. Superior;2022;32,62
25 - 64 años;Canarias;Hombres;E. Superior;2021;31,78
25 - 64 años;Canarias;Hombres;E. Superior;2020;31,03
25 - 64 años;Canarias;Hombres;E. Superior;2019;30,64
25 - 64 años;Canarias;Hombres;E. Superior;2018;28,50
25 - 64 años;Canarias;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;33,87
