Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2018T1;3.751,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2017T4;3.670,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2017T3;3.801,1
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2017T2;4.258,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2017T1;4.226,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2016T4;4.297,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2016T3;4.502,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2016T2;4.773
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2016T1;4.720,4
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2015T4;4.777
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2015T3;5.057,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2015T2;5.375,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2015T1;5.410,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2014T4;5.349,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2014T3;5.467,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2014T2;5.868,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2014T1;5.876,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2013T4;5.868,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2013T3;5.973,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2013T2;6.256,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2013T1;5.951,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2012T4;5.803,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2012T3;5.648,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2012T2;5.637,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2012T1;5.238,8
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2011T4;4.991,4
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2011T3;4.838,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2011T2;4.877,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2011T1;4.654
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2010T4;4.497
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2010T3;4.561,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2010T2;4.609,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2010T1;4.228,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2009T4;4.097
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2009T3;4.042,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2009T2;4.044,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2009T1;3.212,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2008T4;2.614,3
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2008T3;2.381,7
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2008T2;2.174,6
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2008T1;1.909,5
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2007T4;1.842,2
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2007T3;1.776,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2007T2;1.841,9
Total Nacional;Total (trimestre actual);Parados (trimestre anterior);2007T1;1.825,5
