rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2019;17,93
55 - 64 años;Castilla La Mancha;AMBOS SEXOS;E. Superior;2018;16,85

55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;41,38
55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;43,53
55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;45,57
55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;48,96
55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;50,71
55 - 64 años;Catalunya;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;53,07

55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2023;25,07
55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2022;24,94
55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2021;23,02
55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2020;21,01
55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2019;20,72
55 - 64 años;Catalunya;AMBOS SEXOS;2ª etapa E. Secundaria;2018;20,44

55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2023;33,55
55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2022;31,53
55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2021;31,41
55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2020;30,04
55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2019;28,57
55 - 64 años;Catalunya;AMBOS SEXOS;E. Superior;2018;26,49

55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;50,64
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;52,33
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;49,95
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;50,07
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;54,10
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;56,57

55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2023;22,32
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2022;22,47
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2021;23,14
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2020;23,09
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2019;21,53
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;2ª etapa E. Secundaria;2018;20,82

55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2023;27,04
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2022;25,19
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2021;26,91
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2020;26,84
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2019;24,37
55 - 64 años;Comunitat Valenciana;AMBOS SEXOS;E. Superior;2018;22,61

55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;60,97
55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;64,82
55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;66,80
55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;67,61
55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;68,83
55 - 64 años;Extremadura;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;67,61

55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2023;17,73
55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2022;17,01
55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2021;16,88
55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2020;15,87
55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2019;15,37
55 - 64 años;Extremadura;AMBOS SEXOS;2ª etapa E. Secundaria;2018;16,28

55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2023;21,30
55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2022;18,18
55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2021;16,32
55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2020;16,53
55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2019;15,80
55 - 64 años;Extremadura;AMBOS SEXOS;E. Superior;2018;16,11

55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;50,30
55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;51,12
55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;51,78
55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;54,90
55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;57,22
55 - 64 años;Galicia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;58,70

55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2023;21,34
55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2022;18,78
55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2021;18,74
55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2020;19,32
55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2019;20,40
55 - 64 años;Galicia;AMBOS SEXOS;2ª etapa E. Secundaria;2018;19,16

55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2023;28,36
55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2022;30,11
55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2021;29,48
55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2020;25,78
55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2019;22,38
55 - 64 años;Galicia;AMBOS SEXOS;E. Superior;2018;22,15

55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;30,69
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;30,55
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;34,52
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;34,58
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;37,30
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;41,04

55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2023;28,87
55 - 64 años;Comunidad de Madrid;AMBOS SEXOS;2ª etapa E. Secundaria;2022;29,27
