Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2019,"29.303,55"
"Navarra, Comunidad Foral de",Industria,Sueldos y salarios,2018,"28.864,56"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2023,"28.687,85"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2022,"26.867,25"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2021,"26.562,39"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2020,"24.545,07"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2019,"24.659,26"
"Navarra, Comunidad Foral de",Construcción,Sueldos y salarios,2018,"24.359,35"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2023,"27.141,91"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2022,"25.912,72"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2021,"24.861,27"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2020,"24.106,82"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2019,"23.819,52"
"Navarra, Comunidad Foral de",Servicios,Sueldos y salarios,2018,"23.270,18"
País Vasco,Industria,Sueldos y salarios,2023,"37.495,69"
País Vasco,Industria,Sueldos y salarios,2022,"35.252,09"
País Vasco,Industria,Sueldos y salarios,2021,"33.817,62"
País Vasco,Industria,Sueldos y salarios,2020,"32.366,26"
País Vasco,Industria,Sueldos y salarios,2019,"33.172,86"
País Vasco,Industria,Sueldos y salarios,2018,"33.054,17"
País Vasco,Construcción,Sueldos y salarios,2023,"29.392,81"
País Vasco,Construcción,Sueldos y salarios,2022,"28.283,38"
País Vasco,Construcción,Sueldos y salarios,2021,"27.161,01"
País Vasco,Construcción,Sueldos y salarios,2020,"26.452,78"
País Vasco,Construcción,Sueldos y salarios,2019,"26.629,55"
País Vasco,Construcción,Sueldos y salarios,2018,"26.981,33"
País Vasco,Servicios,Sueldos y salarios,2023,"28.236,98"
País Vasco,Servicios,Sueldos y salarios,2022,"27.454,97"
País Vasco,Servicios,Sueldos y salarios,2021,"26.752,19"
País Vasco,Servicios,Sueldos y salarios,2020,"25.470,06"
País Vasco,Servicios,Sueldos y salarios,2019,"25.905,63"
